,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,JobInvolvement,PerformanceRating,AvgTimeInCompany
3018,29,1,Travel_Rarely,Research & Development,26,3,Medical,Female,1,Research Scientist,Married,23070,1,13,1,7,1,4,0,7,2,1,2,3,3,3.5
398,32,1,Travel_Rarely,Research & Development,9,1,Medical,Female,1,Laboratory Technician,Single,27410,1,15,1,1,5,1,0,1,1,4,1,2,3,0.5
978,36,1,Travel_Rarely,Research & Development,1,3,Medical,Male,2,Manufacturing Director,Divorced,33760,5,20,0,16,3,2,2,2,2,1,3,3,4,2.666666667
4276,31,1,Travel_Rarely,Research & Development,2,4,Technical Degree,Female,3,Sales Executive,Married,21410,4,20,0,12,2,4,7,7,2,3,2,3,4,2.4
1254,26,1,Travel_Rarely,Sales,4,3,Marketing,Male,2,Manager,Single,24040,1,12,0,1,5,1,0,1,1,3,2,3,3,0.5
99,24,1,Travel_Frequently,Research & Development,9,3,Medical,Female,4,Manufacturing Director,Single,178560,1,12,0,3,5,2,1,2,1,2,3,2,3,1.5
3052,24,1,Travel_Rarely,Research & Development,10,2,Life Sciences,Male,1,Laboratory Technician,Single,53730,1,12,1,1,2,1,0,0,3,2,3,3,3,0.5
1725,24,1,Travel_Rarely,Research & Development,1,3,Life Sciences,Male,4,Sales Representative,Single,61620,1,12,3,1,2,1,1,1,4,3,3,2,3,0.5
4279,24,1,Travel_Rarely,Research & Development,5,2,Life Sciences,Male,1,Manager,Single,53320,1,22,1,1,2,1,0,0,4,3,2,3,4,0.5
1500,26,1,Travel_Rarely,Research & Development,4,3,Medical,Male,3,Research Scientist,Divorced,68540,2,11,0,5,5,2,0,2,1,2,3,2,3,1.666666667
1334,54,1,Travel_Rarely,Research & Development,15,3,Life Sciences,Male,2,Laboratory Technician,Married,33120,8,19,0,7,1,3,4,3,2,2,3,1,3,0.7
1578,41,1,Travel_Frequently,Research & Development,16,1,Medical,Female,1,Research Scientist,Single,28100,1,11,0,8,3,4,7,7,1,2,3,4,3,4
739,27,1,Travel_Rarely,Research & Development,2,4,Life Sciences,Female,1,Research Scientist,Single,137700,1,18,1,8,3,4,7,7,4,3,3,4,3,4
1336,31,1,Travel_Rarely,Research & Development,2,4,Technical Degree,Female,3,Sales Executive,Married,21410,4,20,0,12,2,4,7,7,2,3,2,3,4,2.4
1905,36,1,Travel_Rarely,Research & Development,10,3,Medical,Male,3,Sales Executive,Married,22320,1,12,1,16,2,6,3,7,3,4,3,3,3,8
1107,29,1,Travel_Frequently,Research & Development,2,4,Life Sciences,Male,2,Sales Executive,Single,28750,1,11,0,1,3,1,0,0,3,1,3,3,3,0.5
255,24,1,Travel_Rarely,Research & Development,1,3,Life Sciences,Male,4,Sales Representative,Single,61620,1,12,3,1,2,1,1,1,4,3,3,2,3,0.5
1383,24,1,Travel_Frequently,Research & Development,10,2,Life Sciences,Male,2,Healthcare Representative,Single,41870,0,22,1,1,4,1,0,0,3,1,4,3,4,1
1096,54,1,Travel_Rarely,Research & Development,1,2,Medical,Female,4,Sales Executive,Single,25590,1,21,0,5,3,3,1,0,1,4,3,3,4,2.5
3096,24,1,Travel_Rarely,Research & Development,26,2,Medical,Male,1,Research Scientist,Single,104220,1,17,1,6,1,3,1,4,1,2,3,2,3,3
2607,31,1,Travel_Frequently,Research & Development,2,1,Other,Male,3,Sales Executive,Married,70940,1,14,1,10,2,4,0,8,1,4,3,3,3,5
1068,32,1,Travel_Rarely,Research & Development,1,1,Medical,Male,2,Laboratory Technician,Single,27410,7,11,0,7,3,2,2,2,3,2,2,3,3,0.875
2608,53,1,Travel_Rarely,Research & Development,18,3,Medical,Male,1,Research Scientist,Single,34230,6,15,1,15,4,2,2,2,1,1,2,3,3,2.142857143
1848,35,1,Travel_Frequently,Sales,8,2,Marketing,Female,1,Laboratory Technician,Divorced,36900,1,13,1,10,2,4,7,8,4,2,2,4,3,5
904,35,1,Travel_Rarely,Research & Development,2,3,Life Sciences,Male,3,Healthcare Representative,Married,23210,8,12,1,15,1,5,6,0,4,1,3,3,3,1.5
2323,53,1,Travel_Rarely,Research & Development,19,3,Life Sciences,Male,2,Manager,Married,25590,0,22,0,28,2,6,1,9,3,4,3,3,4,10.5
3931,29,1,Travel_Rarely,Sales,4,3,Marketing,Male,4,Research Scientist,Single,36910,1,13,0,2,3,2,2,2,2,2,3,3,3,1
1912,54,1,Travel_Rarely,Sales,9,2,Medical,Female,4,Sales Executive,Single,59570,4,14,1,7,2,1,0,0,4,3,3,1,3,1.4
2041,33,1,Travel_Rarely,Research & Development,3,2,Life Sciences,Male,1,Sales Executive,Single,49360,0,14,0,6,2,3,0,3,1,1,3,2,3,6
2269,29,1,Travel_Frequently,Research & Development,26,3,Medical,Female,4,Research Scientist,Single,44340,5,17,3,7,1,3,0,0,1,2,1,3,3,1.166666667
59,52,1,Travel_Rarely,Research & Development,7,1,Life Sciences,Female,2,Research Scientist,Married,47740,2,18,1,11,2,4,7,7,3,2,2,3,3,3.666666667
2061,43,1,Travel_Rarely,Sales,5,3,Marketing,Female,3,Research Scientist,Single,45220,8,15,1,7,3,3,1,3,1,3,2,3,3,0.777777778
754,31,1,Travel_Frequently,Sales,4,3,Life Sciences,Male,2,Manager,Single,30570,1,19,0,1,3,1,0,0,2,3,3,3,3,0.5
4134,50,1,Travel_Frequently,Sales,4,2,Life Sciences,Female,2,Laboratory Technician,Divorced,167990,7,14,1,12,2,4,0,1,2,3,3,2,3,1.5
2151,32,1,Travel_Rarely,Research & Development,5,3,Technical Degree,Female,1,Sales Executive,Married,96020,1,13,1,10,3,4,1,1,4,3,3,3,3,5
2178,54,1,Travel_Rarely,Sales,1,4,Technical Degree,Male,2,Sales Executive,Married,20970,7,13,2,28,3,4,5,9,3,1,2,4,3,3.875
3222,28,1,Travel_Rarely,Sales,2,4,Life Sciences,Male,3,Research Scientist,Single,20970,7,18,3,10,1,4,3,7,1,2,3,2,3,1.25
3096,24,1,Travel_Rarely,Research & Development,26,2,Medical,Male,1,Research Scientist,Single,104220,1,17,1,6,1,3,1,4,1,2,3,2,3,3
519,24,1,Travel_Rarely,Research & Development,1,4,Life Sciences,Male,1,Manager,Single,57750,1,18,0,1,2,1,1,0,3,1,2,3,3,0.5
1040,46,1,Travel_Rarely,Research & Development,10,3,Medical,Male,1,Sales Executive,Married,44220,4,11,1,13,2,4,3,7,4,2,4,3,3,2.6
1184,29,1,Travel_Rarely,Research & Development,9,4,Medical,Male,2,Sales Representative,Married,29960,8,22,0,4,4,2,2,2,1,4,4,3,4,0.5
1923,29,1,Travel_Rarely,Research & Development,3,4,Life Sciences,Male,1,Sales Executive,Single,27230,6,11,1,3,2,1,0,0,4,1,3,2,3,0.5
694,31,1,Travel_Frequently,Research & Development,3,1,Life Sciences,Male,1,Sales Executive,Single,71040,1,14,1,3,3,2,2,2,4,2,4,3,3,1.5
1338,54,1,Travel_Rarely,Sales,2,2,Medical,Female,1,Research Scientist,Married,43850,1,13,1,28,2,6,9,6,4,4,2,2,3,10.5
2607,31,1,Travel_Frequently,Research & Development,2,1,Other,Male,3,Sales Executive,Married,70940,1,14,1,10,2,4,0,8,1,4,3,3,3,5
2525,29,1,Travel_Rarely,Research & Development,8,2,Medical,Male,1,Manager,Divorced,28530,4,14,1,4,5,2,2,0,1,1,3,2,3,0.8
674,29,1,Travel_Rarely,Research & Development,26,4,Technical Degree,Female,1,Sales Representative,Divorced,28860,3,13,0,10,4,4,7,7,2,3,3,3,3,2.5
848,30,1,Travel_Rarely,Research & Development,1,3,Other,Male,3,Sales Executive,Married,178560,1,13,2,10,2,4,6,7,2,1,3,3,3,5
3349,41,1,Travel_Rarely,Research & Development,23,3,Life Sciences,Female,2,Sales Executive,Divorced,26570,4,11,0,10,3,4,1,0,2,4,2,4,3,2
3979,26,1,Travel_Rarely,Research & Development,2,1,Technical Degree,Female,3,Sales Executive,Married,65780,0,15,2,6,3,3,1,4,4,2,3,2,3,6
1895,25,1,Travel_Rarely,Research & Development,1,2,Life Sciences,Male,1,Sales Executive,Married,32120,1,15,1,1,3,1,0,0,3,2,3,2,3,0.5
3614,29,1,Travel_Rarely,Research & Development,26,4,Technical Degree,Female,1,Sales Representative,Divorced,28860,3,13,0,10,4,4,7,7,2,3,3,3,3,2.5
2083,24,1,Travel_Rarely,Research & Development,26,4,Life Sciences,Male,3,Manufacturing Director,Married,28860,1,19,1,1,5,1,0,0,4,2,1,3,3,0.5
1,31,1,Travel_Frequently,Research & Development,10,1,Life Sciences,Female,1,Research Scientist,Single,41890,0,22,1,6,3,3,1,4,3,2,4,2,4,6
853,53,1,Travel_Rarely,Research & Development,19,3,Life Sciences,Male,2,Manager,Married,25590,0,22,0,28,2,6,1,9,3,4,3,3,4,10.5
1801,29,1,Travel_Rarely,Sales,2,4,Marketing,Female,4,Research Scientist,Married,106500,1,13,2,1,2,1,0,0,2,1,3,4,3,0.5
4015,46,1,Travel_Rarely,Research & Development,4,4,Medical,Female,2,Sales Representative,Married,27430,5,22,1,14,1,4,0,7,3,2,3,4,4,2.333333333
340,28,1,Travel_Rarely,Research & Development,19,4,Medical,Female,2,Sales Executive,Single,32040,6,16,1,5,4,2,2,1,3,3,2,2,3,0.714285714
1900,24,1,Travel_Rarely,Research & Development,15,3,Life Sciences,Male,2,Research Scientist,Single,160640,1,15,1,1,3,1,0,0,4,2,4,3,3,0.5
435,36,1,Travel_Rarely,Research & Development,10,3,Medical,Male,3,Sales Executive,Married,22320,1,12,1,16,2,6,3,7,3,4,3,3,3,8
2193,35,1,Travel_Frequently,Research & Development,1,2,Medical,Male,1,Manufacturing Director,Married,67960,0,13,0,5,2,3,3,2,4,3,2,3,3,5
3689,29,1,Travel_Frequently,Sales,3,2,Marketing,Female,2,Laboratory Technician,Single,68110,0,15,1,9,2,4,7,7,3,4,3,3,3,9
1344,31,1,Travel_Rarely,Research & Development,15,1,Medical,Female,2,Sales Executive,Married,40660,3,22,0,4,2,2,2,2,2,3,3,2,4,1
4366,30,1,Travel_Rarely,Research & Development,10,4,Life Sciences,Female,2,Research Scientist,Single,55620,5,13,0,8,3,3,0,4,4,1,3,2,3,1.333333333
3518,29,1,Travel_Rarely,Research & Development,6,3,Life Sciences,Male,1,Sales Executive,Married,22440,1,12,3,11,5,5,3,10,4,1,1,1,3,5.5
3595,45,1,Travel_Rarely,Research & Development,12,3,Life Sciences,Male,2,Laboratory Technician,Single,43060,2,11,2,26,3,6,1,10,1,2,3,3,3,8.666666667
978,36,1,Travel_Rarely,Research & Development,1,3,Medical,Male,2,Manufacturing Director,Divorced,33760,5,20,0,16,3,2,2,2,2,1,3,3,4,2.666666667
4197,41,1,Travel_Rarely,Sales,20,4,Marketing,Male,2,Sales Executive,Married,102090,1,13,1,23,2,6,9,8,2,3,3,3,3,10.5
531,44,1,Travel_Rarely,Research & Development,18,4,Life Sciences,Female,2,Sales Executive,Married,21190,8,15,0,24,3,6,3,6,2,1,3,3,3,2.4
4259,25,1,Travel_Rarely,Sales,10,1,Marketing,Male,2,Research Director,Single,82370,1,13,0,6,5,4,0,3,3,3,3,2,3,3
3595,45,1,Travel_Rarely,Research & Development,12,3,Life Sciences,Male,2,Laboratory Technician,Single,43060,2,11,2,26,3,6,1,10,1,2,3,3,3,8.666666667
3621,32,1,Travel_Rarely,Research & Development,5,3,Technical Degree,Female,1,Sales Executive,Married,96020,1,13,1,10,3,4,1,1,4,3,3,3,3,5
964,24,1,Travel_Rarely,Sales,6,2,Medical,Female,2,Manager,Married,20970,1,12,0,1,2,1,0,0,4,3,3,2,3,0.5
3050,40,1,Travel_Rarely,Research & Development,8,3,Medical,Female,1,Healthcare Representative,Married,86280,2,20,0,8,2,4,1,0,3,3,3,2,4,2.666666667
1991,51,1,Travel_Rarely,Sales,23,3,Medical,Female,2,Research Scientist,Married,178560,8,20,0,18,2,4,2,7,1,3,4,3,4,1.8
3721,34,1,Travel_Rarely,Research & Development,7,4,Medical,Male,2,Research Scientist,Married,26940,1,16,1,2,3,2,2,2,1,3,3,3,3,1
2297,31,1,Travel_Frequently,Research & Development,26,3,Life Sciences,Female,2,Healthcare Representative,Single,25150,1,14,0,7,3,4,7,7,4,3,1,2,3,3.5
580,42,1,Travel_Frequently,Sales,2,4,Life Sciences,Male,1,Laboratory Technician,Single,22850,0,16,0,22,3,6,9,10,3,1,2,1,3,10.5
3087,25,1,Travel_Rarely,Research & Development,5,2,Life Sciences,Female,3,Laboratory Technician,Married,26600,5,13,0,6,3,2,0,2,1,1,3,3,3,1
3961,44,1,Travel_Frequently,Sales,10,4,Life Sciences,Male,1,Research Scientist,Divorced,28440,1,12,0,6,2,3,2,3,3,2,2,4,3,3
3742,24,1,Travel_Frequently,Sales,3,3,Life Sciences,Male,2,Research Scientist,Single,76540,2,17,1,4,3,1,0,0,2,1,2,2,3,1.333333333
127,30,1,Travel_Frequently,Sales,3,2,Marketing,Male,3,Research Scientist,Single,20970,8,19,0,3,2,1,0,0,3,4,3,2,3,0.5
2806,31,1,Travel_Rarely,Research & Development,2,4,Technical Degree,Female,3,Sales Executive,Married,21410,4,20,0,12,2,4,7,7,2,3,2,3,4,2.4
2999,52,1,Travel_Rarely,Research & Development,7,1,Life Sciences,Female,2,Research Scientist,Married,47740,2,18,1,11,2,4,7,7,3,2,2,3,3,3.666666667
3635,44,1,Travel_Rarely,Sales,5,3,Life Sciences,Male,1,Laboratory Technician,Married,63220,4,11,1,10,2,2,1,2,1,1,4,3,3,2
2435,47,1,Travel_Frequently,Research & Development,1,3,Medical,Female,2,Sales Executive,Married,178560,7,11,2,25,1,6,9,10,3,3,1,3,3,3.125
1740,50,1,Travel_Frequently,Research & Development,4,2,Medical,Male,4,Sales Representative,Married,44240,3,14,1,18,2,3,1,3,2,3,3,2,3,4.5
2219,29,1,Travel_Frequently,Sales,3,2,Marketing,Female,2,Laboratory Technician,Single,68110,0,15,1,9,2,4,7,7,3,4,3,3,3,9
2010,33,1,Travel_Rarely,Research & Development,8,2,Life Sciences,Male,4,Manufacturing Director,Single,29040,4,13,0,5,2,2,2,2,1,2,3,3,3,1
3944,43,1,Travel_Frequently,Research & Development,1,4,Other,Male,3,Sales Executive,Married,76550,8,12,1,6,3,1,0,0,3,3,3,3,3,0.6
2076,41,1,Non-Travel,Research & Development,12,3,Life Sciences,Male,2,Sales Representative,Divorced,178560,6,16,0,5,2,1,0,0,1,1,1,4,3,0.714285714
2808,54,1,Travel_Rarely,Sales,2,2,Medical,Female,1,Research Scientist,Married,43850,1,13,1,28,2,6,9,6,4,4,2,2,3,10.5
3688,49,1,Travel_Frequently,Sales,6,4,Medical,Female,2,Healthcare Representative,Single,23420,3,18,0,20,2,3,1,3,1,1,3,3,3,5
4020,30,1,Travel_Rarely,Sales,12,4,Life Sciences,Female,2,Sales Executive,Single,49500,1,12,2,1,3,1,0,0,2,4,2,3,3,0.5
411,39,1,Travel_Rarely,Research & Development,10,4,Life Sciences,Female,4,Human Resources,Married,66960,7,11,0,8,3,2,2,2,4,1,1,3,3,1
467,35,1,Travel_Rarely,Sales,24,3,Medical,Male,3,Healthcare Representative,Divorced,20970,1,13,3,5,1,3,0,2,3,2,1,2,3,2.5
4402,37,1,Travel_Frequently,Sales,2,3,Marketing,Male,1,Laboratory Technician,Divorced,40010,6,11,1,17,2,1,0,0,1,3,3,3,3,2.428571429
825,40,1,Travel_Rarely,Research & Development,2,3,Medical,Male,2,Research Director,Single,47750,3,15,1,15,3,3,1,0,4,1,1,4,3,3.75
3703,25,1,Travel_Rarely,Sales,16,4,Life Sciences,Male,2,Research Scientist,Married,178560,3,19,0,6,3,2,2,2,1,1,3,2,3,1.5
2921,32,1,Travel_Rarely,Sales,23,1,Life Sciences,Male,3,Healthcare Representative,Single,24680,0,11,0,4,2,2,1,2,4,3,1,3,3,4
2545,46,1,Travel_Rarely,Research & Development,4,4,Medical,Female,2,Sales Representative,Married,27430,5,22,1,14,1,4,0,7,3,2,3,4,4,2.333333333
1901,24,1,Travel_Rarely,Research & Development,26,3,Life Sciences,Female,3,Laboratory Technician,Single,27070,1,11,0,1,2,1,0,0,1,1,3,3,3,0.5
3103,29,1,Travel_Rarely,Research & Development,19,4,Life Sciences,Male,3,Research Scientist,Married,20970,5,16,1,6,4,2,1,1,3,2,4,2,3,1
1819,49,1,Travel_Rarely,Sales,7,2,Life Sciences,Female,2,Healthcare Representative,Married,89980,1,14,2,9,2,4,7,7,3,4,4,4,3,4.5
580,42,1,Travel_Frequently,Sales,2,4,Life Sciences,Male,1,Laboratory Technician,Single,22850,0,16,0,22,3,6,9,10,3,1,2,1,3,10.5
1665,26,1,Travel_Frequently,Research & Development,2,1,Life Sciences,Female,2,Laboratory Technician,Divorced,59930,0,12,0,8,3,4,1,0,2,3,2,3,3,8
3794,38,1,Travel_Rarely,Research & Development,2,3,Medical,Female,3,Sales Executive,Married,49080,4,19,1,7,3,3,1,4,3,2,3,2,3,1.4
13,47,1,Non-Travel,Research & Development,1,1,Medical,Male,1,Research Scientist,Married,57620,1,11,2,10,4,4,9,9,1,2,2,2,3,5
518,24,1,Travel_Frequently,Sales,8,3,Marketing,Male,3,Sales Executive,Single,34640,1,20,0,2,3,2,0,2,4,4,3,2,4,1
2004,33,1,Travel_Frequently,Research & Development,1,2,Life Sciences,Female,1,Sales Executive,Single,62140,1,19,2,14,3,5,3,8,1,3,3,3,3,7
2784,24,1,Travel_Frequently,Sales,4,4,Life Sciences,Female,2,Healthcare Representative,Single,99240,1,22,0,1,3,1,1,0,4,4,3,3,4,0.5
2806,31,1,Travel_Rarely,Research & Development,2,4,Technical Degree,Female,3,Sales Executive,Married,21410,4,20,0,12,2,4,7,7,2,3,2,3,4,2.4
3883,24,1,Travel_Rarely,Research & Development,6,3,Life Sciences,Female,3,Laboratory Technician,Single,49690,1,12,0,5,3,3,1,2,4,3,3,3,3,2.5
1348,51,1,Travel_Frequently,Research & Development,6,3,Life Sciences,Female,1,Manager,Single,20970,2,11,0,18,2,3,0,3,1,4,3,4,3,6
928,35,1,Travel_Frequently,Research & Development,17,4,Medical,Male,1,Research Director,Single,54720,3,11,1,13,3,5,6,7,4,4,4,2,3,3.25
4078,53,1,Travel_Rarely,Research & Development,18,3,Medical,Male,1,Research Scientist,Single,34230,6,15,1,15,4,2,2,2,1,1,2,3,3,2.142857143
99,24,1,Travel_Frequently,Research & Development,9,3,Medical,Female,4,Manufacturing Director,Single,178560,1,12,0,3,5,2,1,2,1,2,3,2,3,1.5
774,39,1,Non-Travel,Research & Development,2,4,Medical,Male,2,Manufacturing Director,Single,43810,2,15,2,11,1,1,0,0,1,1,4,2,3,3.666666667
1900,24,1,Travel_Rarely,Research & Development,15,3,Life Sciences,Male,2,Research Scientist,Single,160640,1,15,1,1,3,1,0,0,4,2,4,3,3,0.5
1826,26,1,Travel_Frequently,Research & Development,22,4,Other,Female,1,Sales Executive,Married,20970,1,22,0,8,2,4,1,7,3,3,3,3,4,4
1878,24,1,Travel_Rarely,Research & Development,15,4,Life Sciences,Female,1,Laboratory Technician,Married,124900,0,13,0,4,3,2,0,2,2,3,4,3,3,4
282,28,1,Travel_Rarely,Sales,2,4,Life Sciences,Male,3,Research Scientist,Single,20970,7,18,3,10,1,4,3,7,1,2,3,2,3,1.25
2072,24,1,Travel_Frequently,Research & Development,22,4,Medical,Male,1,Sales Representative,Married,26540,0,22,0,1,5,1,0,0,3,4,3,2,4,1
2001,44,1,Travel_Rarely,Research & Development,18,4,Life Sciences,Female,2,Sales Executive,Married,21190,8,15,0,24,3,6,3,6,2,1,3,3,3,2.4
3104,24,1,Travel_Rarely,Research & Development,4,3,Medical,Male,1,Sales Executive,Single,76440,1,15,2,1,2,1,0,0,1,4,4,3,3,0.5
2218,49,1,Travel_Frequently,Sales,6,4,Medical,Female,2,Healthcare Representative,Single,23420,3,18,0,20,2,3,1,3,1,1,3,3,3,5
2607,31,1,Travel_Frequently,Research & Development,2,1,Other,Male,3,Sales Executive,Married,70940,1,14,1,10,2,4,0,8,1,4,3,3,3,5
156,24,1,Travel_Rarely,Research & Development,26,2,Medical,Male,1,Research Scientist,Single,104220,1,17,1,6,1,3,1,4,1,2,3,2,3,3
2491,44,1,Travel_Frequently,Sales,10,4,Life Sciences,Male,1,Research Scientist,Divorced,28440,1,12,0,6,2,3,2,3,3,2,2,4,3,3
3788,30,1,Travel_Rarely,Research & Development,1,3,Other,Male,3,Sales Executive,Married,178560,1,13,2,10,2,4,6,7,2,1,3,3,3,5
2041,33,1,Travel_Rarely,Research & Development,3,2,Life Sciences,Male,1,Sales Executive,Single,49360,0,14,0,6,2,3,0,3,1,1,3,2,3,6
688,40,1,Travel_Rarely,Sales,8,1,Other,Male,1,Laboratory Technician,Single,59850,2,13,3,9,1,3,1,0,4,2,3,2,3,3
723,35,1,Travel_Frequently,Research & Development,1,2,Medical,Male,1,Manufacturing Director,Married,67960,0,13,0,5,2,3,3,2,4,3,2,3,3,5
2449,32,1,Travel_Rarely,Research & Development,26,3,Medical,Female,2,Research Director,Single,88230,6,13,2,10,3,1,0,0,1,2,3,3,3,1.428571429
333,33,1,Travel_Rarely,Research & Development,23,4,Life Sciences,Male,1,Human Resources,Single,86390,5,16,2,6,3,2,0,2,1,1,3,2,3,1
1991,51,1,Travel_Rarely,Sales,23,3,Medical,Female,2,Research Scientist,Married,178560,8,20,0,18,2,4,2,7,1,3,4,3,4,1.8
810,28,1,Travel_Frequently,Sales,1,3,Marketing,Male,2,Laboratory Technician,Single,20970,7,12,0,8,3,1,0,0,3,1,2,3,3,1
2911,29,1,Travel_Rarely,Research & Development,7,1,Life Sciences,Female,1,Research Scientist,Single,21800,1,21,0,4,2,3,0,1,3,4,2,3,4,2
2025,39,1,Travel_Frequently,Sales,1,3,Marketing,Male,2,Healthcare Representative,Divorced,67550,7,14,1,21,2,6,9,5,1,4,3,3,3,2.625
2251,34,1,Travel_Rarely,Research & Development,7,4,Medical,Male,2,Research Scientist,Married,26940,1,16,1,2,3,2,2,2,1,3,3,3,3,1
3473,35,1,Travel_Rarely,Sales,7,4,Life Sciences,Male,3,Sales Representative,Single,61180,0,21,1,9,3,4,4,7,4,1,3,2,4,9
3087,25,1,Travel_Rarely,Research & Development,5,2,Life Sciences,Female,3,Laboratory Technician,Married,26600,5,13,0,6,3,2,0,2,1,1,3,3,3,1
3351,39,1,Travel_Rarely,Research & Development,10,4,Life Sciences,Female,4,Human Resources,Married,66960,7,11,0,8,3,2,2,2,4,1,1,3,3,1
4134,50,1,Travel_Frequently,Sales,4,2,Life Sciences,Female,2,Laboratory Technician,Divorced,167990,7,14,1,12,2,4,0,1,2,3,3,2,3,1.5
946,48,1,Travel_Frequently,Sales,10,2,Marketing,Male,1,Healthcare Representative,Married,63470,2,12,1,19,3,4,7,7,4,3,3,1,3,6.333333333
1819,49,1,Travel_Rarely,Sales,7,2,Life Sciences,Female,2,Healthcare Representative,Married,89980,1,14,2,9,2,4,7,7,3,4,4,4,3,4.5
3979,26,1,Travel_Rarely,Research & Development,2,1,Technical Degree,Female,3,Sales Executive,Married,65780,0,15,2,6,3,3,1,4,4,2,3,2,3,6
827,31,1,Travel_Frequently,Research & Development,26,3,Life Sciences,Female,2,Healthcare Representative,Single,25150,1,14,0,7,3,4,7,7,4,3,1,2,3,3.5
602,24,1,Travel_Frequently,Research & Development,22,4,Medical,Male,1,Sales Representative,Married,26540,0,22,0,1,5,1,0,0,3,4,3,2,4,1
2565,34,1,Non-Travel,Research & Development,26,2,Life Sciences,Female,1,Sales Representative,Married,36920,1,12,1,5,5,3,3,0,4,1,3,3,3,2.5
4143,50,1,Travel_Rarely,Research & Development,17,3,Medical,Male,1,Research Scientist,Divorced,173280,4,15,2,20,1,2,2,0,4,1,3,3,3,4
4036,54,1,Travel_Rarely,Research & Development,1,2,Medical,Female,4,Sales Executive,Single,25590,1,21,0,5,3,3,1,0,1,4,3,3,4,2.5
6,28,1,Travel_Rarely,Research & Development,11,2,Medical,Male,2,Sales Executive,Single,58130,2,20,1,5,2,1,0,0,1,3,1,3,4,1.666666667
3621,32,1,Travel_Rarely,Research & Development,5,3,Technical Degree,Female,1,Sales Executive,Married,96020,1,13,1,10,3,4,1,1,4,3,3,3,3,5
3961,44,1,Travel_Frequently,Sales,10,4,Life Sciences,Male,1,Research Scientist,Divorced,28440,1,12,0,6,2,3,2,3,3,2,2,4,3,3
533,35,1,Travel_Rarely,Sales,7,4,Life Sciences,Male,3,Sales Representative,Single,61180,0,21,1,9,3,4,4,7,4,1,3,2,4,9
2083,24,1,Travel_Rarely,Research & Development,26,4,Life Sciences,Male,3,Manufacturing Director,Married,28860,1,19,1,1,5,1,0,0,4,2,1,3,3,0.5
2140,44,1,Travel_Rarely,Research & Development,21,4,Life Sciences,Female,2,Laboratory Technician,Married,62720,1,19,1,10,3,4,0,5,1,4,3,3,3,5
2822,32,1,Travel_Rarely,Research & Development,2,4,Life Sciences,Female,2,Research Director,Single,41480,7,15,0,10,1,3,0,4,1,1,4,2,3,1.25
1648,33,1,Travel_Rarely,Sales,5,4,Marketing,Male,2,Research Director,Divorced,66520,7,22,0,8,5,3,1,3,1,4,3,3,4,1
2144,29,1,Travel_Rarely,Research & Development,26,4,Technical Degree,Female,1,Sales Representative,Divorced,28860,3,13,0,10,4,4,7,7,2,3,3,3,3,2.5
613,24,1,Travel_Rarely,Research & Development,26,4,Life Sciences,Male,3,Manufacturing Director,Married,28860,1,19,1,1,5,1,0,0,4,2,1,3,3,0.5
3597,24,1,Travel_Frequently,Research & Development,20,2,Medical,Female,4,Research Scientist,Single,53370,1,14,1,2,2,2,2,2,1,3,1,3,3,1
255,24,1,Travel_Rarely,Research & Development,1,3,Life Sciences,Male,4,Sales Representative,Single,61620,1,12,3,1,2,1,1,1,4,3,3,2,3,0.5
964,24,1,Travel_Rarely,Sales,6,2,Medical,Female,2,Manager,Married,20970,1,12,0,1,2,1,0,0,4,3,3,2,3,0.5
3574,24,1,Non-Travel,Sales,2,2,Other,Male,3,Healthcare Representative,Single,98240,1,18,0,1,2,1,0,0,1,2,4,3,3,0.5
1932,30,1,Travel_Rarely,Sales,2,3,Life Sciences,Male,2,Healthcare Representative,Married,40000,4,12,0,7,5,3,0,1,1,3,3,2,3,1.4
1498,44,1,Travel_Frequently,Research & Development,1,2,Medical,Male,2,Research Scientist,Divorced,103330,3,14,1,19,2,1,0,0,4,3,1,2,3,4.75
2732,48,1,Travel_Rarely,Research & Development,2,4,Technical Degree,Female,1,Sales Executive,Single,45910,8,16,0,23,5,1,0,0,1,3,3,1,3,2.3
1874,24,1,Travel_Rarely,Research & Development,11,3,Medical,Male,2,Sales Executive,Single,93960,1,12,0,2,5,2,0,2,3,3,2,1,3,1
224,31,1,Travel_Rarely,Research & Development,9,1,Medical,Female,1,Sales Representative,Divorced,178560,2,12,2,9,2,2,1,2,2,1,1,2,3,3
504,26,1,Travel_Frequently,Sales,2,3,Life Sciences,Male,2,Research Scientist,Married,48210,6,14,2,6,2,2,1,2,1,1,3,3,3,0.857142857
2793,34,1,Travel_Frequently,Research & Development,4,4,Life Sciences,Female,4,Sales Executive,Single,55620,1,15,0,9,3,4,0,6,1,3,3,3,3,4.5
2324,38,1,Travel_Rarely,Research & Development,2,3,Medical,Female,3,Sales Executive,Married,49080,4,19,1,7,3,3,1,4,3,2,3,2,3,1.4
